"","avg_load","Max Load","Average Net Load","Max Net Load","Data Center Load Avg","Data Center Load Max","Mid Atlantic Load Average","Mid Atlantic Load Max","Generation Outages","DA_LMP","RT LMP","Solar Forecast","Wind Forecast","Henry (GASPRICE) Average","TETCO-M3 (GASPRICE) Average","is weekend?","Season","DA/L-AVG","DA/L-Max","DA/NL-Avg","DA/NL-max","DA/Dom-Avg","DA/Dom-max","DA/MidA-Avg","DA/Mid-Anax","Outage/L-Avg","Outage/L-Max","GasBlend","BlendHR","BlendHR/Load","GB/NLA","time","load_lag1","load_lag2","load_slide3","load_slide7","load_slide14","load_slide30","pred_load"
"11",100247.1875,106922,97533.905146,101911.099,22370.6875,25837,34458.5,36896,28289,49.567,39.122728,NA,1995.659375,3.32,3.14,FALSE,1,0.000494447786876814,0.000463580928153233,0.000508202762165653,0.000486374894259555,0.0022157119668316,0.00191845028447575,0.00143845495305948,0.00134342476149176,0.282686903310878,0.26494194579226,3.23,15.3458204334365,0.00015307981017858,0.000157338316459955,2023-01-11,100218.0625,100784.5625,96023.5,92995.6696428571,NA,NA,97505.4486607143
"12",95614.375,99373,87907.976822,89871.624,20633.3125,22334,32837.6875,34729,28376,37.977342,32.693884,NA,7310.594313,3.35,2.67,FALSE,1,0.00039719280704392,0.000382169623539593,0.000432012467729728,0.000422573225114971,0.00184058386165576,0.00170042724097788,0.00115651694413622,0.00109353399176481,0.297172651518143,0.285879402694897,3.01,12.6170571428571,0.00013195774320396,0.000143525736787285,2023-01-12,100247.1875,100218.0625,98444.2083333333,94786.3303571429,NA,NA,98423.947172619
"13",96674.5625,101546,90162.00377,92883.062,19860.3125,21457,31659.875,33635,31565,47.310634,55.209751,NA,5836.017563,3.55,3.18,FALSE,1,0.000489380378628556,0.000465903472317964,0.000524729176612886,0.000509356958968472,0.0023821696662628,0.00220490441347812,0.00149434051776894,0.00140658938605619,0.326997193641295,0.311388038435783,3.365,14.0596237741456,0.000145432504793033,0.000155937348176192,2023-01-13,95614.375,100247.1875,100416.604166667,96497.8392857143,NA,NA,98194.0014880952
"14",96063.9375,101094,92690.449552,95066.182,21845.625,23105,31912.1875,34451,28274,50.252933,67.899047,NA,2838.762688,3.44,3.18,TRUE,1,0.000523119646225203,0.000497091152788494,0.000542158693186699,0.000528609984568435,0.00230036600005722,0.00217498086994157,0.00157472542425993,0.00145867849989841,0.294847928058331,0.280351940243734,3.31,15.1821549848943,0.000158042189191904,0.000163794167125891,2023-01-14,96674.5625,95614.375,98693.2083333333,97297.8303571429,NA,NA,97069.994047619
"15",95571,101579,87899.902,90950.336,22226.375,25013,32011.25,35006,28344,43.782173,43.721062,NA,6091.32375,3.44,3.18,TRUE,1,0.000458111487794415,0.000431015987556483,0.000498091260670575,0.000481385500324045,0.00196982967307984,0.00175037672410347,0.0013677120699754,0.00125070482203051,0.297033432453359,0.27946446669095,3.31,13.2272425981873,0.000138402262173539,0.000150480743405008,2023-01-15,96063.9375,96674.5625,97512.0416666667,97260.6696428571,NA,NA,96877.802827381
"16",100653.0625,107760,93043.250885,97754.817,22151.5,26032,33894.9375,36470,26439,47.481143,44.386687,NA,6264.727313,3.44,3.18,FALSE,1,0.000471730733478676,0.000440619367112101,0.000510312597081178,0.000485716657829762,0.00214347303794325,0.00182395294253227,0.00140083288249167,0.00130192330682753,0.263146301614022,0.245762682693022,3.31,14.3447561933535,0.000142516837908966,0.000154172990054737,2023-01-16,95571,96063.9375,96117.625,97704.6696428571,93221.5892857143,NA,95735.7642857143
"17",96988.6875,101300,90111.25501,92941.397,21265.0625,23155,33535,35405,27140,46.802797,35.998056,NA,6432.064563,3.44,3.65,FALSE,1,0.00048255933971681,0.000462021688055281,0.0005193890263187,0.000503573203230418,0.0022009244976355,0.00202128253077089,0.00139564028626808,0.00132192619686485,0.2803090081717,0.268272438854886,3.545,13.2024815232722,0.000136123932219128,0.000146513124490465,2023-01-17,100653.0625,95571,96103.1666666667,97881.9553571429,94143.2053571429,NA,96870.4779761905
"18",94263.875,98364,88803.389474,88729.392,19712.25,21232,31956.8125,33928,30893,42.490805,32.269266,NA,4409.70275,3.42,2.8,FALSE,1,0.0004507644630565,0.000431975163677768,0.000478481792774819,0.0004788808312808,0.00215555327271113,0.00200126248116051,0.00132963214025179,0.00125238166116482,0.32817970622362,0.314396214733032,3.11,13.6626382636656,0.00014494034181881,0.00015385266648708,2023-01-18,96988.6875,100653.0625,97429.3333333333,97863.1696428571,95429.4196428571,NA,97672.7345238095
"19",94791.875,98034,87239.685631,87823.749,20212,21503,33448.375,35426,30641,34.346301,30.148846,NA,7022.5165,3.11,2.77,FALSE,1,0.000362333807618005,0.000350350908868352,0.000393700421448966,0.000391082154782529,0.00169930244409262,0.0015972794958843,0.00102684513074252,0.000969522412917066,0.323607337664752,0.312862362506885,2.94,11.6824153061224,0.000123242791706804,0.000133911707975839,2023-01-19,94263.875,96988.6875,97737.5833333333,97401.8303571429,96094.0803571429,NA,96497.2113095238
"20",96602.875,101194,89992.966208,90784.328,20131.8125,21519,31934.125,34009,27844,42.060974,34.116652,NA,5495.239,2.93,2.78,FALSE,1,0.000435400851165144,0.000415646915825049,0.000467380682872313,0.000463306552205795,0.00208927904529212,0.00195459705376644,0.00131711684600721,0.00123676009291658,0.288666988161584,0.275491794493745,2.855,14.7323901926445,0.000152504676415112,0.000163706018519199,2023-01-20,94791.875,94263.875,97301.875,96547.0714285714,96522.4553571429,NA,95885.4303571429
