"","date_time","western_hub_dalmp_average","yhat","lo95","hi95","lo85","hi85","lo75","hi75","lo65","hi65"
"1",2025-08-11,53.809707,55.7339688025091,45.1431671476288,81.4259132232314,54.4316746750971,65.4158507802396,55.4964562991086,65.5589367749339,53.220466414193,65.60454798727
"2",2025-08-12,73.07918,70.4976096975176,45.5247720985593,91.8923801190992,56.9573142918708,78.7839087433811,57.8873352519928,78.1314899539966,62.9177559273444,75.2795925816131
"3",2025-08-13,65.487699,91.1869375009019,48.4410390168342,110.403647900898,56.6842246058802,95.1098891969692,57.501389698862,99.7055897707655,63.6389470607292,86.8416640080586
"4",2025-08-14,65.608139,86.241524918183,47.2588045416104,104.874298133687,53.7636901000467,93.576595569017,53.1911061287877,100.859323253169,57.5535587815924,84.5521791462232
"5",2025-08-15,71.75658,86.330792212965,45.2268996616747,104.260042163841,50.9976176507753,92.5579641276723,50.8842908767041,100.258417238634,55.7729220081148,84.8217691354473
"6",2025-08-16,53.173789,69.1844618161309,41.7602014618337,84.219669576756,46.3875189268585,69.487969552753,45.0799409720035,73.7267239576891,46.3564316563061,65.7615885218406
"7",2025-08-17,60.09645,74.1449898518091,42.1403036701613,86.8228033489008,49.6893168004199,74.8280098338375,50.9553950651952,83.712906190963,51.6351330705428,72.0422029258448
"8",2025-08-18,50.317549,43.8710676277595,36.365270400895,60.1638823772551,39.726455756901,52.1370709553921,38.6466228287146,49.0904585561094,39.3904313145975,49.2491595630943
"9",2025-08-19,44.877418,40.8394351304633,33.5784990877568,47.6760820251528,37.9833969426179,49.887580740698,38.9475839390572,47.5531154905392,39.026676030763,44.9063240071552
"10",2025-08-20,45.183451,39.0933950577431,34.0047789130656,60.0261971858031,38.4550484520908,51.6877325461495,40.2705030475484,50.8957554773016,37.9066099413966,46.8822691921142
"11",2025-08-21,37.732006,36.8688437428963,34.0137742017831,51.5021449217197,35.7721176224067,46.9074353790361,36.9542507835936,44.8605560731363,35.7607182553882,44.5575627267887
"12",2025-08-22,34.745627,38.6156441762841,29.9306595689339,52.3297784174329,36.4236211685928,45.6062785221153,36.874731422469,45.2271611633437,36.219407238786,43.2092906984438
"13",2025-08-23,29.608715,36.3615998323464,25.484766603682,47.7236581852379,30.9505653893708,40.9928750082432,31.5789241683731,41.9579259866242,31.8726373764413,42.1168092576488
"14",2025-08-24,29.74328,34.1522149571659,24.8468487983589,40.6226635300341,28.9662147526417,38.3876225751517,29.5179942751613,42.0364512336736,27.6794258736955,39.1338468662642
"15",2025-08-25,31.937154,44.0660591217343,31.1188773759357,62.4410725288526,34.1912335187275,44.8481311249753,34.3836823976864,47.751049724488,37.188318025299,45.9367271591584
"16",2025-08-26,28.34464,39.6940064845185,29.0709283008015,47.2605913448673,30.2030772629258,39.2260458423459,31.2979895802158,38.6380791371093,33.1805048268443,37.8480620159983
"17",2025-08-27,24.036546,29.6417325794203,21.0744763609929,37.1744291883198,24.1170204403857,32.710959771507,25.0547516530593,33.4681150203985,25.5001360594933,31.1230137731214
"18",2025-08-28,28.752979,31.1884699724703,24.5831138766441,38.8186811505116,25.0031981183557,34.1124433995175,25.7654821578901,33.99445982687,25.2099523668657,32.4784268414148
"19",2025-08-29,25.520785,31.321178424436,23.6134429940139,38.1101859584701,24.8793019155609,34.5539584365387,26.4388028748665,35.6696320890495,25.7719551312122,32.4755120775482
"20",2025-08-30,21.985102,24.0397427121847,17.8381930583874,29.0996677839693,17.8078938647934,27.6830190534445,19.115672780347,28.0525654965236,18.7911453555369,24.6003713494915
"21",2025-08-31,22.425832,23.0504631007696,16.7620283469222,25.9023233498423,17.1244625372436,27.0262836717789,18.5173076450594,27.2549737030176,17.8787627347098,24.4702956810135
"22",2025-09-01,26.525076,24.8479828775149,19.0411724868516,28.5228824092149,19.809032509001,29.5016420308895,22.2465176818329,30.6287451258225,20.139428919115,28.1370282954777
"23",2025-09-02,36.658453,32.8182968721832,25.5416086535128,36.67866580296,26.8548616218886,35.7529158623844,30.9408396443565,37.6851623498736,29.0549617541112,37.0626026976651
"24",2025-09-03,31.147927,31.4119661623671,23.5401279008127,36.3179189569,24.7723553619657,34.5719381985188,28.8988304306758,36.335019990291,26.7718962231665,35.787923633867
"25",2025-09-04,34.458127,29.0509237207725,22.2353744523279,39.9366967794,22.7810886016959,33.839492520917,25.4255029222409,36.9626269115689,24.1603942840148,35.52169016367
"26",2025-09-05,44.061733,32.9528507382461,24.1777174543121,53.4114413728721,26.5164362597486,34.8754821973482,30.6415276352112,39.9867967770437,29.068976990249,40.3508285912134
"27",2025-09-06,45.492716,29.4386743122284,24.6368030721368,43.5721023950545,24.1940895969019,33.5251540940912,28.816232634297,37.5001527206714,27.9474725410105,35.915914021733
"28",2025-09-07,25.759555,24.1998434651857,18.0709498924339,34.7497794301772,18.3832455724452,30.1301928979595,21.497144476484,30.4078876509711,21.1943913839269,30.5201853615504
"29",2025-09-08,32.717229,25.8791335999555,22.3086034150834,38.6593433250386,22.1714719565124,32.2110730575001,25.0171773659337,31.8466287269456,23.8588622098774,30.8715293748541
"30",2025-09-09,34.820335,33.7388230386828,24.9278463880125,40.8260762625407,25.5745973837335,39.6812117127055,27.3016127477277,37.3250479721312,25.7985078997103,35.6781816734721
"31",2025-09-10,43.953893,36.6675742844823,26.7787642152919,45.6475296671298,28.8926420340688,44.6711861870552,31.8232997819548,42.8300759206862,31.6438584177358,39.9959786092244
"32",2025-09-11,39.932163,39.3058370872021,29.5028419426241,48.2328916690369,33.1898576943826,45.9548100826938,35.5560068940451,47.2466001959485,35.983104993561,43.4819293482564
